game_id,datetime,phase,opening_acc,first_move,game_no
1ed13cac90a54305a86821e40cbaa0fd,2026-06-21 23:05:29+00:00,P3-mating-blunders,87.3125,e4,73
e374c2a155f04852ba2d92049dea1783,2026-06-21 23:10:26+00:00,P3-mating-blunders,90.9375,e4,74
22e3300341694e8da29bf1df9a7bed49,2026-06-21 23:21:57+00:00,P3-mating-blunders,96.8375,e4,75
cee79bb3c9284380b568f70a7c69b797,2026-06-21 23:34:09+00:00,P3-mating-blunders,97.8125,e4,76
54cf8260f0e1423c991493d95dae74a0,2026-06-21 23:38:52+00:00,P3-mating-blunders,94.875,e4,77
50f30c8e8c39454c920e8431cd46565c,2026-06-21 23:55:15+00:00,P3-mating-blunders,94.675,e4,78
74aebf7233584111b9f51733de92937c,2026-06-22 08:44:15+00:00,P3-mating-blunders,87.6625,e4,79
b63ecababe3c402b88b2c2853ee985a8,2026-06-22 08:51:59+00:00,P3-mating-blunders,84.625,e4,80
6c029ee0d95a42d8bfcca9437d72ee0e,2026-06-22 09:05:39+00:00,P3-mating-blunders,85.4,e4,81
12b0ea6a75634564bae9d21d74cd79bf,2026-06-22 09:17:01+00:00,P3-mating-blunders,85.5875,e4,82
433c5e9817b04a1a9e92c23838836550,2026-06-22 09:31:33+00:00,P3-mating-blunders,84.15,e4,83
64f63f210c0148c7825f6fd28acb4c2a,2026-06-22 09:51:57+00:00,P3-mating-blunders,84.65,e4,84
bb11189c4d7448aa829744324d1bf1c4,2026-06-22 09:58:53+00:00,P3-mating-blunders,93.1875,e4,85
257379549b7544c0befd681d98d5c543,2026-06-22 10:03:48+00:00,P3-mating-blunders,94.9,e4,86
97a0893d1c914d4d91b4c2e1f033509e,2026-06-22 10:22:19+00:00,P3-mating-blunders,91.0875,e4,87
adc91ea5981f4ad99dfc2b89e7837369,2026-06-22 10:31:15+00:00,P3-mating-blunders,97.275,e4,88
230a53d9bf2149b6bd4f2d125bf51196,2026-06-22 21:47:20+00:00,P3-mating-blunders,94.55,e4,89
a8792bdeccf0483f80e36e5b0c4555ca,2026-06-22 22:22:44+00:00,P3-mating-blunders,94.425,e4,90
05b5db07975945a5b1ef884c223b7222,2026-06-22 22:33:22+00:00,P3-mating-blunders,90.15,e4,91
19acd96c45f24671bd4b81db38160790,2026-06-22 22:57:43+00:00,P3-mating-blunders,79.15,e4,92
d5a41e17f6674ab6a550aabbba36e415,2026-06-23 01:21:31+00:00,P3-mating-blunders,96.4625,e4,93
79a5d9c7af1d43e787666a5d307ce152,2026-06-23 01:27:51+00:00,P3-mating-blunders,96.4625,e4,94
78b0439ec83446bca5f936c27dd9a918,2026-06-23 01:32:49+00:00,P3-mating-blunders,93.4625,e4,95
ca87333dbd9145219bc76a01b351692f,2026-06-23 01:40:19+00:00,P3-mating-blunders,96.4625,e4,96
9a14bde7b1b34ccf91f8022bd6049f9f,2026-06-23 01:47:29+00:00,P3-mating-blunders,93.4625,e4,97
673b7dc5566949b7a2e35c386d9fac76,2026-06-23 02:01:05+00:00,P3-mating-blunders,96.4625,e4,98
2304502cfe684b44b981ac6d42b16e46,2026-06-23 02:08:24+00:00,P3-mating-blunders,96.4625,e4,99
d50bae3209f04e4eb7dc7e1705757da8,2026-06-23 02:14:57+00:00,P3-mating-blunders,93.4625,e4,100
354354dea67a4fa7a02bbedb261ba882,2026-06-23 07:19:53+00:00,P3-mating-blunders,93.3375,e4,101
face523344e14518bb77232a05b4fcf9,2026-06-23 07:31:39+00:00,P3-mating-blunders,98.6625,e4,102
4df3fbf413194ef78c2c5dcb630f676c,2026-06-23 07:43:38+00:00,P3-mating-blunders,92.725,e4,103
3e83ce50a9a745b5bc7f4d8d998951ec,2026-06-23 07:48:12+00:00,P3-mating-blunders,79.875,e4,104
eb5e0bd49f494dfa808f7a23f2ed597f,2026-06-23 08:47:09+00:00,P3-mating-blunders,88.0125,e4,105
a8723c977f1844e8bff4d9bb24026623,2026-06-23 09:01:21+00:00,P3-mating-blunders,98.675,e4,106
f1a9382acadb4694acb958abf07d5ebb,2026-06-23 09:08:24+00:00,P3-mating-blunders,90.425,e4,107
30cff1dc243444b49a1be39d57c6cc38,2026-06-23 09:26:29+00:00,P3-mating-blunders,89.6,e4,108
1fc5f9cbbaf549018977bdd9c09b5bac,2026-06-23 09:37:58+00:00,P3-mating-blunders,94.9,e4,109
92121573d0cb4339aec26ef9a5ac9293,2026-06-23 09:51:07+00:00,P3-mating-blunders,94.425,e4,110
cab790db979146de80c5e0879e578cc6,2026-06-23 10:02:28+00:00,P3-mating-blunders,97.9375,e4,111
63ed394b59c848b286baf27e0e4ffdd0,2026-06-23 10:15:42+00:00,P3-mating-blunders,98.65,e4,112
46e558b485454d8ea7f813b6d26f6803,2026-06-23 10:27:27+00:00,P3-mating-blunders,85.4875,e4,113
a736e53f65d1494ca492532985d60822,2026-06-23 10:49:13+00:00,P3-mating-blunders,90.125,e4,114
4129d2eee72a43e2b2207563c2f46d6b,2026-06-23 11:03:02+00:00,P3-mating-blunders,92.15,e4,115
fbd350963e994267bab1e3742ec5e4c2,2026-06-23 11:13:23+00:00,P3-mating-blunders,98.8,e4,116
3cc18727829b402892eb15aa629247e8,2026-06-23 11:22:07+00:00,P3-mating-blunders,90.2375,e4,117
d71e59ac6a074f589141882342cfab8a,2026-06-23 11:43:48+00:00,P3-mating-blunders,91.1375,e4,118
3dfcc9c01764490cbc2594ace6d32855,2026-06-23 11:55:14+00:00,P3-mating-blunders,94.875,e4,119
547bd4a610034131936a0be3608b2e39,2026-06-23 12:00:58+00:00,P3-mating-blunders,96.1875,e4,120
d7f15693fc894d4ea382c83c71f48f55,2026-06-23 12:14:09+00:00,P3-mating-blunders,78.15,e4,121
9c4b0de9bcf54d88b1011f8074514836,2026-06-23 12:20:00+00:00,P3-mating-blunders,99.35,e4,122
8f6506151dce4f238cef163badd21152,2026-06-23 12:30:40+00:00,P3-mating-blunders,91.3875,e4,123
9093df7cc430411382ec4d4215aa3d4a,2026-06-23 12:45:04+00:00,P3-mating-blunders,90.8375,e4,124
e40c8d1674c04f01aae9879e2baf395a,2026-06-23 12:55:54+00:00,P3-mating-blunders,97.8625,e4,125
3233802098014a5d9d3283778be117a3,2026-06-23 13:06:56+00:00,P3-mating-blunders,98.35,e4,126
88e90f4059094b6482be3bdc49244bec,2026-06-23 13:19:49+00:00,P3-mating-blunders,94.875,e4,127
80a0e42c0afa421d929a7399adc32563,2026-06-23 13:27:35+00:00,P3-mating-blunders,94.6125,e4,128
541a090850d34a29817fce076a3de607,2026-06-23 13:38:12+00:00,P3-mating-blunders,98.35,e4,129
877c796ecd0640fc885ed3a5b373afb7,2026-06-23 13:47:13+00:00,P3-mating-blunders,88.6875,e4,130
a557302d58184349adc81bf7685575d2,2026-06-23 14:15:24+00:00,P3-mating-blunders,93.8875,e4,131
7a7fb0d8a1784ca48dc10796f653d816,2026-06-23 14:38:18+00:00,P3-mating-blunders,88.8375,e4,132
1d546705728143baae828965e0f91d8a,2026-06-23 14:51:51+00:00,P3-mating-blunders,93.875,e4,133
23f1eaf17bc042069c3ea01e9a14e157,2026-06-23 15:04:58+00:00,P3-mating-blunders,88.3,e4,134
70a04c813e33481f82213c524672f79a,2026-06-23 15:17:24+00:00,P3-mating-blunders,97.2125,e4,135
7287aed75582411c8a17f15419f35d9e,2026-06-23 15:33:52+00:00,P3-mating-blunders,97.5625,e4,136
f501d94d12724b6aa43a45b5c2754829,2026-06-23 15:45:53+00:00,P3-mating-blunders,84.5,e4,137
21a80e66a3f841069c10fe6e024bdf01,2026-06-23 16:07:20+00:00,P3-mating-blunders,95.2875,e4,138
abeeb9aa2a00403fb202748b75e1391f,2026-06-24 09:00:58+00:00,P4-autonomous-loop,97.1,e4,139
d56f8ab5b9324844880854be9585d634,2026-06-30 12:59:20+00:00,P4-autonomous-loop,88.25,e4,140
93f47672f0fc4d4db19fc520ff74fe42,2026-06-30 13:06:42+00:00,P4-autonomous-loop,86.35,e4,141
